Entity Code Year "Homicide rate per 100,000 population - Both sexes - All ages"
Afghanistan AFG 2009 4.0715265
Afghanistan AFG 2010 3.4870927
Afghanistan AFG 2011 4.208668
Afghanistan AFG 2012 6.393913
Afghanistan AFG 2015 9.975262
Afghanistan AFG 2016 6.6924186
Denmark DNK 2019 1.22
